Word,Rank,Freqency
cometh,679,0.000132446
feelings,680,0.000131978
mary,681,0.000131978
need,682,0.00013151
iniquity,683,0.000131042
grace,684,0.000130106
beginning,685,0.000130106
top,686,0.000129638
rise,687,0.00012917
wonder,688,0.00012917
jane,689,0.000128702
state,690,0.000128702
added,691,0.000128702
hill,692,0.000128234
length,693,0.000128234
multitude,694,0.000127766
serve,695,0.000127766
wanted,696,0.000127298
visit,697,0.00012683
change,698,0.00012683
born,699,0.00012683
offerings,700,0.000126362
pleased,701,0.000125894
follow,702,0.000125894
battle,703,0.000125426
stay,704,0.000125426
whales,705,0.000125426
cold,706,0.000125426
instant,707,0.000124958
filled,708,0.00012449
iron,709,0.000124022
lie,710,0.000124022
host,711,0.000124022
levites,712,0.000124022
girl,713,0.000124022
twelve,714,0.000123554
prophet,715,0.000123086
woodhouse,716,0.000123086
beautiful,717,0.000122618
secret,718,0.000122618
blue,719,0.000122618
subject,720,0.000122618
real,721,0.00012215
philistines,722,0.00012215
held,723,0.000121682
jews,724,0.000121682
doing,725,0.000121682
play,726,0.000121682
window,727,0.000120746
mountains,728,0.000120746
wrong,729,0.000120746
lived,730,0.000120746
street,731,0.000120278
question,732,0.00011981
seems,733,0.00011981
break,734,0.00011981
tribe,735,0.000118874
song,736,0.000118874
elliot,737,0.000118874
therein,738,0.000118406
south,739,0.000118406
comfort,740,0.000118406
throne,741,0.000117937
ark,742,0.000117937
temple,743,0.000117937
account,744,0.000117937
righteous,745,0.000117937
ears,746,0.000117469
houses,747,0.000117001
late,748,0.000116533
line,749,0.000116065
order,750,0.000116065
disciples,751,0.000115597
prophets,752,0.000115597
beast,753,0.000115597
smote,754,0.000115597
sacrifice,755,0.000115597
east,756,0.000115597
departed,757,0.000114661
taking,758,0.000114661
wrath,759,0.000114661
town,760,0.000114661
speaking,761,0.000114661
trust,762,0.000114193
stones,763,0.000114193
tongue,764,0.000114193
entered,765,0.000114193
bare,766,0.000114193
believed,767,0.000113725
susan,768,0.000113257
met,769,0.000113257
smile,770,0.000113257
inheritance,771,0.000113257
dwelt,772,0.000113257
perfectly,773,0.000113257
story,774,0.000113257
fellow,775,0.000112789
foot,776,0.000112789
talking,777,0.000112789
human,778,0.000112789
plain,779,0.000112789
lifted,780,0.000112789
caught,781,0.000112321
abraham,782,0.000112321
understanding,783,0.000112321
fish,784,0.000112321
there's,785,0.000112321
sperm,786,0.000111853
rich,787,0.000111853
everything,788,0.000111853
sitting,789,0.000111853
arms,790,0.000111385
minutes,791,0.000111385
bright,792,0.000111385
thence,793,0.000110917
thirty,794,0.000110917
across,795,0.000110917
greater,796,0.000110449
horses,797,0.000110449
desire,798,0.000110449
bow,799,0.000109981
trouble,800,0.000109981
north,801,0.000109513
stranger,802,0.000108577
hat,803,0.000108577
turning,804,0.000108577
command,805,0.000108577
lips,806,0.000108577
hell,807,0.000108109
loved,808,0.000108109
heads,809,0.000108109
joseph,810,0.000108109
kill,811,0.000107641
afterwards,812,0.000107641
spread,813,0.000107641
built,814,0.000107173
yourselves,815,0.000107173
thinking,816,0.000107173
louisa,817,0.000107173
lo,818,0.000107173
begat,819,0.000107173
happiness,820,0.000107173
watch,821,0.000106705
drew,822,0.000106705
pharaoh,823,0.000106705
show,824,0.000106237
fifty,825,0.000106237
cloud,826,0.000106237
big,827,0.000106237
stubb,828,0.000106237
fact,829,0.000105301
whatever,830,0.000105301
sky,831,0.000105301
particular,832,0.000104833
led,833,0.000104833
dashwood,834,0.000104833
caesar,835,0.000104833
shut,836,0.000104365
around,837,0.000104365
paul,838,0.000104365
talked,839,0.000104365
ear,840,0.000104365
natural,841,0.000103897
inhabitants,842,0.000103897
offered,843,0.000103897
service,844,0.000103897
buster,845,0.000103897
stars,846,0.000102961
obliged,847,0.000102961
rejoice,848,0.000102961
noise,849,0.000102493
edward,850,0.000102493
seat,851,0.000102493
exactly,852,0.000102493
joshua,853,0.000102025
presence,854,0.000102025
moreover,855,0.000102025
struck,856,0.000102025
beside,857,0.000101557
faces,858,0.000101557
tried,859,0.000101557
age,860,0.000101557
court,861,0.000101557
equal,862,0.000101089
hours,863,0.000101089
forget,864,0.000101089
acquaintance,865,0.000100621
i've,866,0.000100621
different,867,0.000100621
won't,868,0.000100621
opinion,869,0.000100153
walking,870,0.000100153
forty,871,0.000100153
worse,872,0.000100153
clear,873,9.97E-05
purpose,874,9.97E-05
cubits,875,9.97E-05
mountain,876,9.97E-05
giving,877,9.97E-05
taste,878,9.97E-05
character,879,9.97E-05
grass,880,9.97E-05
arose,881,9.92E-05
mad,882,9.92E-05
fled,883,9.92E-05
nobody,884,9.92E-05
pay,885,9.92E-05
charge,886,9.87E-05
heavy,887,9.87E-05
grey,888,9.87E-05
queequeg,889,9.87E-05
mother's,890,9.87E-05
sheep,891,9.83E-05
families,892,9.83E-05
fat,893,9.78E-05
reign,894,9.78E-05
says,895,9.78E-05
frank,896,9.78E-05
ashamed,897,9.78E-05
dr,898,9.69E-05
destroyed,899,9.69E-05
fancy,900,9.64E-05
church,901,9.64E-05
slew,902,9.64E-05
hearts,903,9.64E-05
wherein,904,9.64E-05
fallen,905,9.64E-05
figure,906,9.64E-05
sought,907,9.59E-05
shame,908,9.59E-05
form,909,9.59E-05
happened,910,9.59E-05
gather,911,9.59E-05
carry,912,9.59E-05
farmer,913,9.59E-05
sorry,914,9.59E-05
delight,915,9.55E-05
slain,916,9.55E-05
churchill,917,9.55E-05
beasts,918,9.55E-05
streets,919,9.50E-05
dare,920,9.50E-05
countenance,921,9.50E-05
sudden,922,9.50E-05
touch,923,9.45E-05
ma'am,924,9.45E-05
meant,925,9.41E-05
fairfax,926,9.41E-05
write,927,9.41E-05
youth,928,9.41E-05
interest,929,9.41E-05
woe,930,9.36E-05
feeling,931,9.36E-05
he's,932,9.36E-05
appear,933,9.36E-05
ill,934,9.36E-05
promise,935,9.36E-05
unclean,936,9.31E-05
lucy,937,9.31E-05
aside,938,9.31E-05
bound,939,9.31E-05
jordan,940,9.31E-05
jennings,941,9.27E-05
attention,942,9.27E-05
moon,943,9.27E-05
clothes,944,9.27E-05
beauty,945,9.22E-05
repeated,946,9.22E-05
road,947,9.22E-05
gates,948,9.17E-05
build,949,9.17E-05
ladies,950,9.13E-05
instead,951,9.13E-05
broad,952,9.13E-05
besides,953,9.13E-05
pain,954,9.13E-05
pleasant,955,9.13E-05
tis,956,9.13E-05
rain,957,9.13E-05
enemy,958,9.08E-05
favour,959,9.08E-05
loud,960,9.08E-05
prepared,961,9.08E-05
mere,962,9.03E-05
object,963,9.03E-05
heavens,964,9.03E-05
try,965,9.03E-05
thank,966,9.03E-05
throughout,967,9.03E-05
stop,968,9.03E-05
moved,969,8.99E-05
arise,970,8.94E-05
wentworth,971,8.94E-05
satisfied,972,8.94E-05
consider,973,8.89E-05
witness,974,8.89E-05
valley,975,8.89E-05
bless,976,8.89E-05
clean,977,8.89E-05
sins,978,8.89E-05
ere,979,8.85E-05
reigned,980,8.85E-05
prince,981,8.85E-05
whosoever,982,8.80E-05
looks,983,8.80E-05
speech,984,8.80E-05
peter,985,8.80E-05
months,986,8.80E-05
chance,987,8.75E-05
nigh,988,8.75E-05
gentlemen,989,8.75E-05
hid,990,8.75E-05
lamb,991,8.75E-05
queen,992,8.75E-05
dream,993,8.70E-05
conversation,994,8.70E-05
vessels,995,8.70E-05
goes,996,8.70E-05
entirely,997,8.66E-05
ah,998,8.66E-05
horse,999,8.66E-05
dinner,1000,8.61E-05
golden,1001,8.61E-05
remain,1002,8.61E-05
running,1003,8.61E-05
rising,1004,8.61E-05
ships,1005,8.61E-05
several,1006,8.56E-05
regard,1007,8.56E-05
fixed,1008,8.56E-05
carriage,1009,8.56E-05
usual,1010,8.56E-05
elders,1011,8.52E-05
tears,1012,8.52E-05
grew,1013,8.47E-05
nay,1014,8.47E-05
pure,1015,8.47E-05
further,1016,8.47E-05
raised,1017,8.47E-05
hate,1018,8.47E-05
minute,1019,8.47E-05
neck,1020,8.47E-05
remained,1021,8.47E-05
wished,1022,8.42E-05
knows,1023,8.42E-05
creature,1024,8.42E-05
commandment,1025,8.42E-05
alive,1026,8.42E-05
draw,1027,8.42E-05
grave,1028,8.38E-05
vs,1029,8.38E-05
nation,1030,8.38E-05
proud,1031,8.33E-05
didn't,1032,8.33E-05
worship,1033,8.33E-05
deck,1034,8.33E-05
vast,1035,8.33E-05
lion,1036,8.33E-05
farther,1037,8.33E-05
cattle,1038,8.33E-05
willoughby,1039,8.28E-05
taught,1040,8.28E-05
front,1041,8.24E-05
curious,1042,8.24E-05
fields,1043,8.24E-05
ago,1044,8.24E-05
covered,1045,8.24E-05
breath,1046,8.24E-05
angry,1047,8.24E-05
laugh,1048,8.24E-05
leaves,1049,8.24E-05
lot,1050,8.19E-05
married,1051,8.19E-05
ephraim,1052,8.19E-05
determined,1053,8.19E-05
respect,1054,8.14E-05
rock,1055,8.14E-05
former,1056,8.14E-05
salvation,1057,8.10E-05
aye,1058,8.10E-05
fresh,1059,8.10E-05
professor,1060,8.10E-05
excellent,1061,8.10E-05
straight,1062,8.05E-05
sign,1063,8.05E-05
counsel,1064,8.05E-05
view,1065,8.00E-05
appearance,1066,8.00E-05
sick,1067,8.00E-05
makes,1068,8.00E-05
pride,1069,8.00E-05
commandments,1070,8.00E-05
grow,1071,8.00E-05
hearing,1072,7.96E-05
impossible,1073,7.96E-05
london,1074,7.96E-05
directly,1075,7.96E-05
begin,1076,7.96E-05
english,1077,7.96E-05
laughing,1078,7.96E-05
proper,1079,7.96E-05
archer,1080,7.96E-05
merely,1081,7.91E-05
desolate,1082,7.91E-05
stopped,1083,7.91E-05
starbuck,1084,7.91E-05
burn,1085,7.86E-05
knowing,1086,7.86E-05
moab,1087,7.86E-05
terrible,1088,7.86E-05
devil,1089,7.86E-05
pieces,1090,7.86E-05
situation,1091,7.86E-05
bones,1092,7.86E-05
worth,1093,7.82E-05
wide,1094,7.82E-05
teach,1095,7.82E-05
names,1096,7.82E-05
angels,1097,7.82E-05
beneath,1098,7.82E-05
border,1099,7.77E-05
chosen,1100,7.77E-05
west,1101,7.77E-05
depart,1102,7.77E-05
promised,1103,7.77E-05
benjamin,1104,7.77E-05
expected,1105,7.77E-05
passage,1106,7.72E-05
possession,1107,7.72E-05
everybody,1108,7.72E-05
de,1109,7.72E-05
marry,1110,7.72E-05
spring,1111,7.72E-05
buried,1112,7.72E-05
sorrow,1113,7.72E-05
justice,1114,7.68E-05
affection,1115,7.68E-05
shewed,1116,7.68E-05
fit,1117,7.68E-05
blind,1118,7.68E-05
parts,1119,7.68E-05
likewise,1120,7.68E-05
feast,1121,7.68E-05
image,1122,7.68E-05
middle,1123,7.68E-05
hence,1124,7.68E-05
crown,1125,7.63E-05
kindness,1126,7.63E-05
corner,1127,7.63E-05
nevertheless,1128,7.63E-05
whence,1129,7.63E-05
brutus,1130,7.58E-05
easy,1131,7.58E-05
heathen,1132,7.58E-05
killed,1133,7.58E-05
thither,1134,7.58E-05
cross,1135,7.58E-05
saved,1136,7.58E-05
safe,1137,7.58E-05
declare,1138,7.58E-05
bit,1139,7.58E-05
doors,1140,7.58E-05
fortune,1141,7.58E-05
appointed,1142,7.58E-05
ghost,1143,7.53E-05
ones,1144,7.53E-05
escape,1145,7.53E-05
especially,1146,7.53E-05
charles,1147,7.53E-05
following,1148,7.53E-05
quiet,1149,7.49E-05
dust,1150,7.49E-05
tone,1151,7.49E-05
seas,1152,7.49E-05
didst,1153,7.44E-05
sisters,1154,7.44E-05
shadow,1155,7.44E-05
shape,1156,7.44E-05
waves,1157,7.44E-05
hearken,1158,7.39E-05
whatsoever,1159,7.39E-05
mark,1160,7.39E-05
suffer,1161,7.39E-05
distance,1162,7.39E-05
exclaimed,1163,7.35E-05
removed,1164,7.35E-05
manners,1165,7.35E-05
crew,1166,7.35E-05
hills,1167,7.35E-05
assure,1168,7.35E-05
camp,1169,7.35E-05
future,1170,7.35E-05
arthur,1171,7.35E-05
wings,1172,7.35E-05
broke,1173,7.35E-05
morrow,1174,7.35E-05
samuel,1175,7.35E-05
clouds,1176,7.30E-05
wives,1177,7.30E-05
eight,1178,7.30E-05
welcome,1179,7.25E-05
vpon,1180,7.25E-05
divine,1181,7.21E-05
sides,1182,7.21E-05
worthy,1183,7.21E-05
pity,1184,7.21E-05
cecilia,1185,7.21E-05
understood,1186,7.16E-05
slowly,1187,7.16E-05
fond,1188,7.16E-05
whither,1189,7.16E-05
hartfield,1190,7.16E-05
lands,1191,7.16E-05
surprise,1192,7.16E-05
thick,1193,7.16E-05
bru,1194,7.16E-05
zion,1195,7.11E-05
likely,1196,7.11E-05
health,1197,7.11E-05
forgotten,1198,7.11E-05
simple,1199,7.11E-05
lead,1200,7.11E-05
smiling,1201,7.11E-05
precious,1202,7.07E-05
piece,1203,7.07E-05
letters,1204,7.07E-05
dry,1205,7.07E-05
noble,1206,7.07E-05
waiting,1207,7.07E-05
settled,1208,7.07E-05
captains,1209,7.02E-05
boats,1210,7.02E-05
food,1211,7.02E-05
pale,1212,7.02E-05
eternal,1213,7.02E-05
space,1214,7.02E-05
passing,1215,6.97E-05
brass,1216,6.97E-05
meeting,1217,6.97E-05
due,1218,6.97E-05
smith,1219,6.97E-05
forest,1220,6.97E-05
week,1221,6.93E-05
rule,1222,6.93E-05
